apotheke,apotheke_plz,apotheke_stadt,name,bezeichnung,genetik,thc,cbd,preis_pro_gramm,verfuegbarkeit,produkt_url
Cannabis Taxi,73730,Esslingen,Pink Kush Mints,Wellford Peak CA PKM 33/1,Hybrid Indica Dominant,33%,1%,"5,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/wellford_peak_ca_pkm_33_1-pink_kush_mints?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Lemon Razz,Remexian 33/1 MTL LRZ,Hybrid Sativa Dominant,33%,1%,"7,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/remexian_33_1_mtl_lrz-lemon_razz?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Purple Rain by the Gram,Weeco Duke 24/1,Hybrid Sativa Dominant,23%,<1%,"4,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/weeco-duke-24-1-purple-rain-by-the-gram?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Jungle Fumes,enua 30/1 JGF,Hybrid Sativa Dominant,30%,<1%,"6,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/enua_30_1_jgf-jungle_fumes?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Vanilla Cake,N!CE 26/1 VC,Hybrid Sativa Dominant,26%,1%,"5,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/n_ce_26_1_vc-vanilla_cake?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Banana Kush,Sinceritas Hybrid Verum 24/1 BK,Hybrid,24%,1%,"6,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/sinceritas_hybrid_verum_24_1_bk-banana_kush?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Platinum Pavé,420 Compound 27/1 CA PPE,Hybrid,27%,1%,"5,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/420_compound_27_1_ca_ppe-platinum_pav_?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Black Cherry Punch,Cannamedical Indica classic ZAF,Hybrid Indica Dominant,20.4%,<1%,"5,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/cannamedical-indica-classic-zaf-black-cherry-punch?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Wedding Cake,enua 22/1 WDC CA,Hybrid,22%,1%,"4,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/enua_22_1_wdc_ca-wedding_cake?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Ultra Jack,HiSociety 30/1 CAN UJA,Hybrid Sativa Dominant,30%,1%,"6,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/hi_society_30_1_can_uja-ultra_jack?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
